D5-DD,D7-DD,D7-UU,D7-DU,subject
0.002468,0.00963,0.018447,0.021533,10
0.002643,0.007175,0.016986,0.024287,10
0.002171,0.010952,0.03242,0.007477,10
0.001996,0.008623,0.016256,0.009052,10
0.003021,0.008056,0.014612,0.01473,10
0.0024,0.009315,0.013881,0.011694,10
0.002117,0.009063,0.011872,0.009164,10
0.001618,0.023792,0.010685,0.004947,10
0.002185,0.011518,0.009954,0.007421,10
0.001416,0.00749,0.009498,0.009726,10
0.001672,0.010259,0.052329,0.005453,10
0.001322,0.007616,0.013607,0.009276,10
0.002549,0.005224,0.017169,0.0113,10
0.001456,0.008875,0.013881,0.020633,10
0.002077,0.02033,0.013973,0.013493,10
0.00236,0.005979,0.029772,0.022151,11
0.002711,0.006798,0.044018,0.014674,11
0.002346,0.012966,0.034977,0.018384,11
0.016034,0.013029,0.044932,0.027323,11
0.002994,0.101271,0.02484,0.030584,11
0.012649,0.009567,0.024749,0.030134,11
0.016425,0.024987,0.023836,0.019396,11
0.003007,0.02184,0.016712,0.024456,11
0.002414,0.012462,0.020183,0.020071,11
0.002791,0.013155,0.030228,0.030247,11
0.002899,0.011959,0.026393,0.02142,11
0.002684,0.01435,0.02621,0.021139,11
0.002522,0.005161,0.027489,0.020689,11
0.001928,0.007616,0.01726,0.01979,11
0.002859,0.01114,0.02,0.021139,11
0.002603,0.006798,0.025662,0.017035,11
0.003762,0.0107,0.029954,0.027492,11
0.002832,0.008371,0.017717,0.026705,11
0.003884,0.009001,0.018265,0.030865,11
0.00209,0.008371,0.023014,0.020183,11
0.002711,0.006042,0.014521,0.021139,11
0.002171,0.011392,0.034795,0.023894,11
0.001982,0.010196,0.030594,0.020408,11
0.002791,0.010196,0.024384,0.019171,11
0.002225,0.011581,0.037169,0.025131,11
0.002009,0.011581,0.016256,0.019171,11
0.002495,0.012273,0.023653,0.019734,11
0.002441,0.011455,0.02347,0.026649,11
0.002441,0.01177,0.015799,0.021645,11
0.003398,0.011833,0.016164,0.027042,11
0.003183,0.008812,0.023379,0.024456,11
0.002171,0.009001,0.025845,0.024962,11
0.003061,0.007993,0.015616,0.026817,11
0.003075,0.006672,0.016347,0.028504,11
0.002643,0.007364,0.013242,0.066397,11
0.003115,0.008182,0.018813,0.017766,11
0.002252,0.008875,0.009954,0.020127,11
0.002009,0.010637,0.012877,0.023332,11
0.002306,0.007364,0.016073,0.022207,11
0.001807,0.011959,0.012511,0.020802,11
0.00236,0.006105,0.012968,0.019059,11
0.002292,0.009756,0.012877,0.024231,11
0.002953,0.007742,0.018539,0.020914,11
0.002279,0.012022,0.01589,0.018946,11
0.002899,0.008371,0.011872,0.019565,11
0.002306,0.006861,0.010776,0.020296,11
0.00236,0.009567,0.009132,0.017878,11
0.00174,0.008812,0.013516,0.023894,11
